timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757629829,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,117.598796
1757629940,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,103.602698
1757630050,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,103.611312
1757630159,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,102.628882
1757630270,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,103.624369
1757630391,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,114.620389
1757630513,test,1,1,2,1,1,1,1,1,1,lineitem_sf10,114.656156
1757630636,test,1,1,4,1,1,1,1,1,1,lineitem_sf10,116.631877
1757630757,test,1,1,8,1,1,1,1,1,1,lineitem_sf10,114.64109
1757630882,test,1,1,16,1,1,1,1,1,1,lineitem_sf10,117.641584
1757631003,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,114.631181
1757631125,test,1,1,1,2,1,1,1,1,1,lineitem_sf10,114.642735
1757631246,test,1,1,1,4,1,1,1,1,1,lineitem_sf10,114.609906
1757631368,test,1,1,1,8,1,1,1,1,1,lineitem_sf10,114.659121
1757631490,test,1,1,1,16,1,1,1,1,1,lineitem_sf10,115.606768
1757631612,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.634528
1757631736,test,1,1,1,1,1,1,2,1,1,lineitem_sf10,116.603956
1757631856,test,1,1,1,1,1,1,4,1,1,lineitem_sf10,113.659807
1757631976,test,1,1,1,1,1,1,8,1,1,lineitem_sf10,113.640138
1757632097,test,1,1,1,1,1,1,16,1,1,lineitem_sf10,113.649849
1757632219,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.651928
1757632342,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,115.636079
1757632463,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,114.643336
1757632586,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,115.664409
1757632709,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,116.633026
1757632831,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.649433
1757632955,test,1,1,1,1,1,1,1,1,2,lineitem_sf10,116.678843
1757633080,test,1,1,1,1,1,1,1,1,4,lineitem_sf10,118.658738
1757633203,test,1,1,1,1,1,1,1,1,8,lineitem_sf10,115.632569
1757633325,test,1,1,1,1,1,1,1,1,16,lineitem_sf10,115.624658
