timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1757635661,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.629105,3989701970
1757635762,env_2s_2c_125net_lineitem_sf10,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,94.371435,3987685522
1757635976,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.559745,3989650810
1757636077,env_16s_2c_125net_lineitem_sf10,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,93.38584,3987876748
1757636132,env_2s_2c_125net_ss13husallm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,46.408479,501636435
1757636159,env_2s_2c_125net_ss13husallm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,20.350154,501311723
1757636213,env_16s_2c_125net_ss13husallm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,45.367748,501633187
1757636240,env_16s_2c_125net_ss13husallm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,20.332445,501292467
1757636446,env_2s_2c_125net_iotm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,197.51355,1274558561
1757636526,env_2s_2c_125net_iotm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,73.355271,1275404489
1757636727,env_16s_2c_125net_iotm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,191.599075,1274535533
1757636807,env_16s_2c_125net_iotm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,73.335599,1275462401
1757636866,env_2s_2c_125net_inputeventsm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,50.442251,523040772
1757636895,env_2s_2c_125net_inputeventsm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,22.346814,522579290
1757636954,env_16s_2c_125net_inputeventsm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,50.360398,523074873
1757636984,env_16s_2c_125net_inputeventsm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,22.332888,522637629
