timestamp,env,repetition,system,network,table,time
1757639799,figure_parquet_csv,1,duckdb,0,lineitem_sf10,51.391476
1757639850,figure_parquet_csv,1,duckdb,0,ss13husallm,27.29232
1757639877,figure_parquet_csv,1,duckdb,0,iotm,79.820586
1757639957,figure_parquet_csv,1,duckdb,0,inputeventsm,24.085699
1757639983,figure_parquet_csv,1,duckdb,125,lineitem_sf10,69.952723
1757640053,figure_parquet_csv,1,duckdb,125,ss13husallm,29.159072
1757640082,figure_parquet_csv,1,duckdb,125,iotm,86.511529
1757640168,figure_parquet_csv,1,duckdb,125,inputeventsm,26.511856
1757640206,figure_parquet_csv,1,xdbc[col],0,lineitem_sf10,3.618965
1757640215,figure_parquet_csv,1,xdbc[col-snappy],0,lineitem_sf10,3.592416
1757640222,figure_parquet_csv,1,xdbc[parquet],0,lineitem_sf10,-1
1757640228,figure_parquet_csv,1,xdbc[parquet-snappy],0,lineitem_sf10,-1
1757640246,figure_parquet_csv,1,xdbc[col],0,ss13husallm,11.600221
1757640264,figure_parquet_csv,1,xdbc[col-snappy],0,ss13husallm,11.713952
1757640281,figure_parquet_csv,1,xdbc[parquet],0,ss13husallm,10.675228
1757640298,figure_parquet_csv,1,xdbc[parquet-snappy],0,ss13husallm,10.645818
1757640339,figure_parquet_csv,1,xdbc[col],0,iotm,34.652788
1757640380,figure_parquet_csv,1,xdbc[col-snappy],0,iotm,34.647238
1757640410,figure_parquet_csv,1,xdbc[parquet],0,iotm,23.697861
1757640440,figure_parquet_csv,1,xdbc[parquet-snappy],0,iotm,23.656863
1757640457,figure_parquet_csv,1,xdbc[col],0,inputeventsm,10.620314
1757640474,figure_parquet_csv,1,xdbc[col-snappy],0,inputeventsm,10.635712
1757640490,figure_parquet_csv,1,xdbc[parquet],0,inputeventsm,9.642135
1757640506,figure_parquet_csv,1,xdbc[parquet-snappy],0,inputeventsm,9.636928
1757640518,figure_parquet_csv,1,xdbc[col],125,lineitem_sf10,3.585351
1757640528,figure_parquet_csv,1,xdbc[col-snappy],125,lineitem_sf10,3.616748
1757640535,figure_parquet_csv,1,xdbc[parquet],125,lineitem_sf10,-1
1757640542,figure_parquet_csv,1,xdbc[parquet-snappy],125,lineitem_sf10,-1
1757640565,figure_parquet_csv,1,xdbc[col],125,ss13husallm,15.620035
1757640583,figure_parquet_csv,1,xdbc[col-snappy],125,ss13husallm,11.630993
1757640602,figure_parquet_csv,1,xdbc[parquet],125,ss13husallm,11.738335
1757640621,figure_parquet_csv,1,xdbc[parquet-snappy],125,ss13husallm,11.629753
1757640663,figure_parquet_csv,1,xdbc[col],125,iotm,35.702326
1757640705,figure_parquet_csv,1,xdbc[col-snappy],125,iotm,34.653046
1757640737,figure_parquet_csv,1,xdbc[parquet],125,iotm,24.740458
1757640768,figure_parquet_csv,1,xdbc[parquet-snappy],125,iotm,24.659587
1757640806,figure_parquet_csv,1,xdbc[col],125,inputeventsm,30.646411
1757640824,figure_parquet_csv,1,xdbc[col-snappy],125,inputeventsm,10.66619
1757640840,figure_parquet_csv,1,xdbc[parquet],125,inputeventsm,9.736965
1757640857,figure_parquet_csv,1,xdbc[parquet-snappy],125,inputeventsm,9.627908
