timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757634598,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,111.345241
1757634707,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,102.345817
1757634818,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,104.348357
1757634928,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,103.357166
1757635038,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,103.350446
1757635145,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,100.34657
1757635253,test,1,8,2,1,1,1,1,1,1,lineitem_sf10,101.347142
1757635362,test,1,8,4,1,1,1,1,1,1,lineitem_sf10,102.35657
1757635472,test,1,8,8,1,1,1,1,1,1,lineitem_sf10,102.340298
1757635583,test,1,8,16,1,1,1,1,1,1,lineitem_sf10,104.344539
1757635692,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,102.349673
1757635802,test,1,8,1,2,1,1,1,1,1,lineitem_sf10,103.351891
1757635911,test,1,8,1,4,1,1,1,1,1,lineitem_sf10,102.357726
1757636020,test,1,8,1,8,1,1,1,1,1,lineitem_sf10,102.342999
1757636131,test,1,8,1,16,1,1,1,1,1,lineitem_sf10,104.342315
1757636245,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,106.354838
1757636353,test,1,8,1,1,1,1,2,1,1,lineitem_sf10,101.347261
1757636460,test,1,8,1,1,1,1,4,1,1,lineitem_sf10,100.336899
1757636568,test,1,8,1,1,1,1,8,1,1,lineitem_sf10,101.353228
1757636680,test,1,8,1,1,1,1,16,1,1,lineitem_sf10,105.348473
1757636790,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,103.347066
1757636857,test,1,8,1,1,1,1,1,2,1,lineitem_sf10,60.339049
1757636899,test,1,8,1,1,1,1,1,4,1,lineitem_sf10,35.328016
1757636940,test,1,8,1,1,1,1,1,8,1,lineitem_sf10,34.324913
1757636982,test,1,8,1,1,1,1,1,16,1,lineitem_sf10,34.329445
1757637089,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,100.351331
1757637198,test,1,8,1,1,1,1,1,1,2,lineitem_sf10,102.348284
1757637309,test,1,8,1,1,1,1,1,1,4,lineitem_sf10,104.348434
1757637421,test,1,8,1,1,1,1,1,1,8,lineitem_sf10,105.354314
1757637532,test,1,8,1,1,1,1,1,1,16,lineitem_sf10,104.356795
