timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1757571066,env_16s_16c_0net_lineitem_sf10,1,1,16,1,1,1,1,1,16,1024,70656,70656,1,zstd,0,0,104.44815,3026410482
1757571170,env_16s_16c_0net_lineitem_sf10,1,4,16,8,1,1,1,1,8,1024,101376,46080,1,lzo,0,0,97.373377,3829238536
1757571193,env_16s_16c_0net_lineitem_sf10,1,1,4,16,1,1,16,8,2,1024,79872,95232,1,snappy,0,0,16.368124,3817997419
1757571301,env_16s_16c_0net_lineitem_sf10,1,16,2,4,1,1,16,1,2,1024,82944,73728,1,lzo,0,0,100.372175,3829199890
1757571325,env_16s_16c_0net_lineitem_sf10,1,1,4,16,1,1,16,8,1,1024,79872,92160,1,lzo,0,0,17.360914,3829460638
1757571349,env_16s_16c_0net_lineitem_sf10,1,16,2,4,1,1,4,8,4,1024,82944,64512,1,lzo,0,0,17.381823,3830369550
1757571368,env_16s_16c_0net_lineitem_sf10,1,16,8,4,1,1,2,16,1,1024,101376,73728,1,lz4,0,0,12.367642,3945346980
1757571387,env_16s_16c_0net_lineitem_sf10,1,2,8,4,1,1,16,16,2,1024,58368,119808,1,nocomp,0,0,11.360202,9946427137
1757571408,env_16s_16c_0net_lineitem_sf10,1,8,2,4,1,1,8,16,4,1024,58368,101376,1,lz4,0,0,14.385394,3946242593
1757571513,env_16s_16c_0net_lineitem_sf10,1,4,1,8,1,1,1,1,16,1024,55296,70656,1,zstd,0,0,98.397973,3026250926
1757571572,env_16s_16c_0net_lineitem_sf10,1,1,2,4,1,1,8,2,1,1024,36864,49152,1,nocomp,0,0,52.335301,9945839817
1757571680,env_16s_16c_0net_lineitem_sf10,1,16,2,1,1,1,4,1,8,1024,73728,55296,1,nocomp,0,0,100.355443,9945794447
1757571708,env_16s_16c_0net_lineitem_sf10,1,1,1,2,1,1,2,16,4,1024,27648,82944,1,nocomp,0,0,21.327369,9952880415
1757571768,env_16s_16c_0net_lineitem_sf10,1,8,16,8,1,1,4,2,1,1024,113664,36864,1,nocomp,0,0,53.350526,9945829437
1757571803,env_16s_16c_0net_lineitem_sf10,1,2,1,4,1,1,1,4,2,1024,36864,36864,1,snappy,0,0,28.298157,3817821738
1757571864,env_16s_16c_0net_lineitem_sf10,1,2,1,8,1,1,4,2,1,1024,49152,36864,1,snappy,0,0,53.31576,3817749011
1757571887,env_16s_16c_0net_lineitem_sf10,1,1,16,1,1,1,1,8,1,1024,70656,46080,1,nocomp,0,0,16.328134,9945794315
1757571911,env_16s_16c_0net_lineitem_sf10,1,8,8,4,1,1,16,16,2,1024,76800,119808,1,zstd,0,0,17.463129,3028386266
1757571947,env_16s_16c_0net_lineitem_sf10,1,16,16,2,1,1,1,4,1,1024,119808,33792,1,nocomp,0,0,29.36899,9945918793
1757571976,env_16s_16c_0net_lineitem_sf10,1,2,1,4,1,1,2,8,16,1024,36864,95232,1,nocomp,0,0,21.34343,9951556125
1757572084,env_16s_16c_0net_lineitem_sf10,1,4,16,4,1,1,16,1,4,1024,89088,79872,1,lzo,0,0,101.377458,3829140916
1757572120,env_16s_16c_0net_lineitem_sf10,1,16,16,1,1,1,4,4,2,1024,116736,46080,1,snappy,0,0,29.382002,3821384330
1757572162,env_16s_16c_0net_lineitem_sf10,1,16,16,1,1,1,16,8,8,1024,116736,113664,1,lz4,0,0,35.428571,3945736526
