timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1756036962,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,199.748671,3989640586
1756037062,env_2s_2c_125net_lineitem_sf10,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,92.367485,3987662503
1756037272,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,201.511293,3989412935
1756037373,env_16s_2c_125net_lineitem_sf10,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,93.384799,3987693611
1756037428,env_2s_2c_125net_ss13husallm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,46.387918,501618325
1756037454,env_2s_2c_125net_ss13husallm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,19.320279,501270453
1756037509,env_16s_2c_125net_ss13husallm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,46.360296,501647445
1756037535,env_16s_2c_125net_ss13husallm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,19.324708,501286836
1756037737,env_2s_2c_125net_iotm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,192.60474,1274537747
1756037816,env_2s_2c_125net_iotm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,72.339977,1272925477
1756038015,env_16s_2c_125net_iotm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,190.456022,1274474520
1756038095,env_16s_2c_125net_iotm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,72.344684,1272958912
1756038154,env_2s_2c_125net_inputeventsm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,50.389902,523005632
1756038183,env_2s_2c_125net_inputeventsm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,22.329249,522472905
1756038242,env_16s_2c_125net_inputeventsm,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,50.344485,523022486
1756038271,env_16s_2c_125net_inputeventsm,1,2,1,8,1,1,16,2,2,1024,81920,81920,1,snappy,0,0,22.355864,522495567
