timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1756028399,env_16s_16c_0net_lineitem_sf10,1,1,8,2,1,1,2,2,4,1024,49152,39936,1,nocomp,0,0,52.314968,9945838483
1756028458,env_16s_16c_0net_lineitem_sf10,1,8,1,2,1,1,8,2,2,1024,49152,52224,1,snappy,0,0,52.315383,3817866653
1756028485,env_16s_16c_0net_lineitem_sf10,1,2,1,2,1,1,4,8,8,1024,30720,76800,1,nocomp,0,0,20.341937,9951482601
1756028522,env_16s_16c_0net_lineitem_sf10,1,16,8,1,1,1,16,4,8,1024,92160,101376,1,snappy,0,0,29.372458,3818014684
1756028550,env_16s_16c_0net_lineitem_sf10,1,16,1,8,1,1,2,8,2,1024,92160,52224,1,lzo,0,0,21.33401,3832862784
1756028610,env_16s_16c_0net_lineitem_sf10,1,1,4,8,1,1,4,2,8,1024,55296,58368,1,lz4,0,0,53.337377,3942612475
1756028719,env_16s_16c_0net_lineitem_sf10,1,1,8,4,1,1,8,1,16,1024,55296,92160,1,zstd,0,0,102.358991,3026280570
1756028823,env_16s_16c_0net_lineitem_sf10,1,16,1,2,1,1,1,1,4,1024,73728,33792,1,zstd,0,0,97.345755,3025916609
1756028931,env_16s_16c_0net_lineitem_sf10,1,2,1,16,1,1,4,1,16,1024,73728,79872,1,nocomp,0,0,101.381849,9945857125
1756028952,env_16s_16c_0net_lineitem_sf10,1,16,4,4,1,1,16,16,8,1024,89088,138240,1,lz4,0,0,14.41231,3942860889
1756028970,env_16s_16c_0net_lineitem_sf10,1,4,4,1,1,1,1,16,16,1024,43008,116736,1,nocomp,0,0,11.347484,9945730831
1756028999,env_16s_16c_0net_lineitem_sf10,1,8,1,8,1,1,8,8,8,1024,67584,89088,1,zstd,0,0,22.384028,3027535769
1756029025,env_16s_16c_0net_lineitem_sf10,1,1,16,2,1,1,16,8,16,1024,73728,138240,1,lz4,0,0,19.407894,3945230628
1756029060,env_16s_16c_0net_lineitem_sf10,1,1,2,4,1,1,1,4,16,1024,36864,79872,1,snappy,0,0,28.333667,3817876820
1756029084,env_16s_16c_0net_lineitem_sf10,1,8,4,4,1,1,1,8,16,1024,64512,92160,1,lz4,0,0,16.360152,3942634742
1756029191,env_16s_16c_0net_lineitem_sf10,1,1,4,8,1,1,1,1,1,1024,55296,24576,1,lzo,0,0,100.323245,3829125424
1756029298,env_16s_16c_0net_lineitem_sf10,1,8,2,4,1,1,16,1,1,1024,58368,70656,1,nocomp,0,0,100.340696,9945854931
1756029405,env_16s_16c_0net_lineitem_sf10,1,16,2,1,1,1,1,1,8,1024,73728,46080,1,lz4,0,0,100.3434,3943078599
1756029464,env_16s_16c_0net_lineitem_sf10,1,2,1,4,1,1,16,2,1,1024,36864,73728,1,nocomp,0,0,52.332933,9945892773
1756029482,env_16s_16c_0net_lineitem_sf10,1,4,16,1,1,1,8,16,8,1024,79872,113664,1,nocomp,0,0,11.403675,9946099271
1756029541,env_16s_16c_0net_lineitem_sf10,1,4,1,1,1,1,16,2,2,1024,33792,76800,1,lzo,0,0,52.333351,3829360206
1756029601,env_16s_16c_0net_lineitem_sf10,1,8,16,4,1,1,4,2,2,1024,101376,39936,1,nocomp,0,0,53.347349,9945800639
1756029622,env_16s_16c_0net_lineitem_sf10,1,4,4,4,1,1,4,16,1,1024,52224,79872,1,lzo,0,0,14.339074,3829873723
